name,rating,user_ratings_total,price_level,vicinity,formatted_address,place_id,types,business_status,formatted_phone_number,website,opening_hours,reviews_count,category,generated_review
Boulevard,4.6,1619,4,"1 Mission Street, San Francisco",,ChIJF-zbSmSAhYARvOafjdCRszQ,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Boulevard exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
Wayfare Tavern,4.5,2773,3,"201 Pine Street, San Francisco",,ChIJE5T3YoqAhYARtxUohSbFVDc,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Wayfare Tavern exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Marlowe,4.4,1866,2,"500 Brannan Street, San Francisco",,ChIJK08gKtR_j4ARKyo5suJ6o2I,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Great food and service at Marlowe. The dishes were well-prepared and the staff was friendly.
E&O Kitchen and Bar,4.3,1388,2,"314 Sutter Street, San Francisco",,ChIJGXWXQYmAhYAR-Nr_OyKvI2o,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Casual Dining,E&O Kitchen and Bar offers a solid dining experience with good quality food and reasonable prices.
Kokkari Estiatorio,4.7,3250,4,"200 Jackson Street, San Francisco",,ChIJTel9dGCAhYARQGwrTfGZ07M,"meal_takeaway, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Absolutely amazing experience at Kokkari Estiatorio! The food was exceptional and the service was top-notch. Highly recommend! The upscale atmosphere adds to the dining experience.
Tropisueno,4.3,3709,2,"75 Yerba Buena Lane, San Francisco",,ChIJfcaly4eAhYARSIvvfFpH64w,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Tropisueno offers a solid dining experience with good quality food and reasonable prices.
Amber India Restaurant,4.1,1981,3,"25 Yerba Buena Lane, San Francisco",,ChIJD8yVgoiAhYAR6Hl-j7OC2I8,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Great food and service at Amber India Restaurant. The dishes were well-prepared and the staff was friendly.
The Big 4,4.4,325,3,"1075 California Street, San Francisco",,ChIJo_6Ueo2AhYARsBQcUwYK84Y,"restaurant, point_of_interest, food, establishment",CLOSED_TEMPORARILY,,,Unknown,0,Other | Fine Dining,Really enjoyed my meal at The Big 4. The food was tasty and the service was prompt.
Tadich Grill,4.5,2938,3,"240 California Street, San Francisco",,ChIJqVjXkGGAhYAR5X80yCKz9Wo,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Tadich Grill! The food was exceptional and the service was top-notch. Highly recommend!
Press Club,4.5,732,3,"20 Yerba Buena Lane, San Francisco",,ChIJ5VjkK4aAhYAR4JdQs3IUjQA,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Fine Dining,Press Club exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
House of Prime Rib,4.7,6789,3,"1906 Van Ness Avenue, San Francisco",,ChIJg67caeqAhYAR2UQjKb1a8j4,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,One of the best restaurants I've ever been to. House of Prime Rib delivers quality that matches their excellent reputation.
Bar Crudo,4.6,765,3,"655 Divisadero Street, San Francisco",,ChIJG5eZAYyAhYARoc7-JK2NJEU,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,One of the best restaurants I've ever been to. Bar Crudo delivers quality that matches their excellent reputation.
King Lee's Chinese Restaurant,3.8,119,1,"1426 Fillmore Street Suite A, San Francisco",,ChIJYykKebmAhYARPht2M8TbovY,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Chinese | Casual Dining,King Lee's Chinese Restaurant is a reliable choice for a casual meal. Food quality is acceptable.
Nopalito,4.3,1962,2,"306 Broderick Street, San Francisco",,ChIJWdx6WK6AhYARchLwAKyG4-Y,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Really enjoyed my meal at Nopalito. The food was tasty and the service was prompt.
Sweet Maple,4.6,4274,2,"2101 Sutter Street, San Francisco",,ChIJMT5TG7iAhYAREDkkUYkUSYg,"cafe, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Coffee | Casual Dining,Sweet Maple exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Ryoko's Japanese Restaurant & Bar,4.4,1975,2,"619 Taylor Street, San Francisco",,ChIJUem7D46AhYARYUQXakltDSo,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Japanese | Bar/Lounge | Casual Dining,Really enjoyed my meal at Ryoko's Japanese Restaurant & Bar. The food was tasty and the service was prompt.
Amelie San Francisco,4.6,608,2,"1754 Polk Street, San Francisco",,ChIJ88G-quuAhYAR7bj0Yhr8gwI,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Amelie San Francisco exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Crustacean on Polk,4.4,1179,3,"1475 Polk Street, San Francisco",,ChIJbTaY0ZSAhYARfIMEck8_XW8,"restaurant, food, point_of_interest, establishment",CLOSED_TEMPORARILY,,,Unknown,0,Other | Fine Dining,Great food and service at Crustacean on Polk. The dishes were well-prepared and the staff was friendly.
Flour + Water,4.5,1755,3,"2401 Harrison Street, San Francisco",,ChIJDVaCXjd-j4AR4AOGUS0kLGc,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Absolutely amazing experience at Flour + Water! The food was exceptional and the service was top-notch. Highly recommend!
Taquería El Farolito,4.5,5437,1,"2779 Mission Street, San Francisco",,ChIJ5WRITUd-j4ARIcl68TeeR8M,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Absolutely amazing experience at Taquería El Farolito! The food was exceptional and the service was top-notch. Highly recommend!
Foreign Cinema,4.5,3166,3,"2534 Mission Street, San Francisco",,ChIJPwvLyD5-j4AR2fM8C0bbVC8,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Foreign Cinema! The food was exceptional and the service was top-notch. Highly recommend!
Starbelly,4.3,2032,2,"3583 16th Street, San Francisco",,ChIJs6YBYhx-j4AR4LUJq9SFQt0,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Great food and service at Starbelly. The dishes were well-prepared and the staff was friendly.
Mission Chinese Food,4.2,1224,2,"2234 Mission Street, San Francisco",,ChIJmZN_ljx-j4ARF16HqVQ2vnI,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Chinese | Casual Dining,Great food and service at Mission Chinese Food. The dishes were well-prepared and the staff was friendly.
Bi-Rite Market,4.5,905,1,"3639 18th Street, San Francisco",,ChIJ_WI-BRh-j4AR1EnWvxsCVOg,"grocery_or_supermarket, supermarket, liquor_store, restaurant, point_of_interest, food, store, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Bi-Rite Market exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Teeth Bar SF,4.3,914,1,"2323 Mission Street, San Francisco",,ChIJ19wvezx-j4ARtTYI1KKXkZY,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at Teeth Bar SF. The food was tasty and the service was prompt.
The Chapel,4.7,578,2,"777 Valencia Street, San Francisco",,ChIJzdMHHj1-j4ARCU4ZzZw5lBg,"night_club, bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,One of the best restaurants I've ever been to. The Chapel delivers quality that matches their excellent reputation.
Super Duper Burgers,4.5,2331,1,"2304 Market Street, San Francisco",,ChIJE8IQlBx-j4ARurzdrE3v_Lk,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,American | Casual Dining,Super Duper Burgers exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Frances,4.7,719,3,"3870 17th Street, San Francisco",,ChIJky2knBt-j4ARXAdR3-GAWM8,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Absolutely amazing experience at Frances! The food was exceptional and the service was top-notch. Highly recommend!
Beretta Valencia,4.5,2504,2,"1199 Valencia Street, San Francisco",,ChIJHeoUcz9-j4AR9BGHeYE4w3o,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Beretta Valencia exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Mama's On Washington Square,4.4,3033,2,"1701 Stockton Street, San Francisco",,ChIJzXSCqfGAhYAR_AM6FCI7To4,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Really enjoyed my meal at Mama's On Washington Square. The food was tasty and the service was prompt.
Tony's Pizza Napoletana,4.5,9165,2,"1570 Stockton Street, San Francisco",,ChIJHXHcEvGAhYARQPuHNN78s78,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Italian | Casual Dining,Absolutely amazing experience at Tony's Pizza Napoletana! The food was exceptional and the service was top-notch. Highly recommend!
In-N-Out Burger,4.3,11668,1,"333 Jefferson Street, San Francisco",,ChIJcUlD0eOAhYARucGJj8eN9I8,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,American | Casual Dining,Really enjoyed my meal at In-N-Out Burger. The food was tasty and the service was prompt.
Franciscan Crab Restaurant,4.2,5177,3,"Pier 43 1/2, 43 1/2 The Embarcadero, San Francisco",,ChIJERGFHOOAhYARFYtaHpvXbyc,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Really enjoyed my meal at Franciscan Crab Restaurant. The food was tasty and the service was prompt.
Gary Danko,4.6,2037,4,"800 North Point Street, San Francisco",,ChIJq342JeGAhYARwdtH9tlX7gg,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Gary Danko exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful. The upscale atmosphere adds to the dining experience.
The Irish Bank,4.3,1774,2,"10 Mark Lane, San Francisco",,ChIJO-TDcImAhYAR6O16Hgw4feE,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at The Irish Bank. The food was tasty and the service was prompt.
Magnolia SF - Haight,4.4,924,2,"1398 Haight Street, San Francisco",,ChIJE0grwKyAhYARYEGINq3LTPQ,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Magnolia SF - Haight offers a solid dining experience with good quality food and reasonable prices.
Zazie,4.6,3409,2,"941 Cole Street, San Francisco",,ChIJgSeZU1SHhYARQU-BswtkEiY,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Zazie exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
SPQR,4.3,756,4,"1911 Fillmore Street, San Francisco",,ChIJCUQFkseAhYARpkr3emAuxp8,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at SPQR. The dishes were well-prepared and the staff was friendly. The upscale atmosphere adds to the dining experience.
Spruce,4.6,1650,3,"3640 Sacramento Street, San Francisco",,ChIJ_075ezGHhYARMb6UkSpmbbE,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Absolutely amazing experience at Spruce! The food was exceptional and the service was top-notch. Highly recommend!
Patxi's Pizza,4.1,1078,2,"511 Hayes Street, San Francisco",,ChIJZcmnbaKAhYARlw87UJD_1Vw,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Italian | Casual Dining,Great food and service at Patxi's Pizza. The dishes were well-prepared and the staff was friendly.
Benihana,4,2035,3,"1737 Post Street, San Francisco",,ChIJHY2bJ7mAhYARobftrgWJDvE,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at Benihana. The dishes were well-prepared and the staff was friendly.
ROOFTOP 25,4.3,1093,3,"25 Lusk Street, San Francisco",,ChIJAzkmQNZ_j4ARs6PNLtDYE_g,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Great food and service at ROOFTOP 25. The dishes were well-prepared and the staff was friendly.
Gold Club,3.3,156,2,"650 Howard Street, San Francisco",,ChIJqUq8D32AhYARdLzkgdNNfts,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Gold Club has potential but needs work on consistency. Service was okay.
Bottom of the Hill,4.7,985,1,"1233 17th Street, San Francisco",,ChIJQcdLBsx_j4AROyDSIMBYKH8,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Unknown,0,Other | Bar/Lounge | Casual Dining,Bottom of the Hill exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Joyride Pizza - Yerba Buena Gardens,4.3,990,2,"730 Howard Street, San Francisco",,ChIJwRoTbYeAhYARRVVpbPgZvdw,"bar, meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Italian | Bar/Lounge | Casual Dining,Joyride Pizza - Yerba Buena Gardens offers a solid dining experience with good quality food and reasonable prices.
Delancey Street Restaurant,4.5,1526,1,"600 The Embarcadero, San Francisco",,ChIJTRf2DXeAhYARsjppfRXu44s,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Delancey Street Restaurant exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Lao Table,4.2,1366,2,"149 2nd Street, San Francisco",,ChIJlzpQKH2AhYARxeGIpYu53Tw,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,Really enjoyed my meal at Lao Table. The food was tasty and the service was prompt.
Plow,4.4,2691,2,"1299 18th Street, San Francisco",,ChIJRT-pgcl_j4ARC1TrxZcQ8xY,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Casual Dining,Plow offers a solid dining experience with good quality food and reasonable prices.
Humphry Slocombe,4.4,864,2,"One Ferry Building #8, San Francisco",,ChIJWUj0iEh-j4ARPJYe1823nnU,"restaurant, food, point_of_interest, store, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Great food and service at Humphry Slocombe. The dishes were well-prepared and the staff was friendly.
Waterbar Restaurant,4.5,4127,3,"399 The Embarcadero, San Francisco",,ChIJgXkuGnCAhYARbVYisXVfO68,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Waterbar Restaurant exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Hog Island Oyster Co.,4.6,3677,2,"Ferry Building, #11, San Francisco",,ChIJWTGPjmaAhYARgXpiJ-aACYM,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Seafood | Bar/Lounge | Casual Dining,Hog Island Oyster Co. exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
EPIC Steak,4.4,2830,3,"369 The Embarcadero, San Francisco",,ChIJJVhdD3CAhYARw2KuKNaUCEg,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Fine Dining,Really enjoyed my meal at EPIC Steak. The food was tasty and the service was prompt.
The Little Chihuahua,4.4,924,2,"292 Divisadero Street, San Francisco",,ChIJ8y_0Oa-AhYARvwNaeQL0it8,"restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,The Little Chihuahua offers a solid dining experience with good quality food and reasonable prices.
The Alembic,4.5,796,3,"1725 Haight Street, San Francisco",,ChIJ4RMby1OHhYARsGxnl40kWbg,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Closed,0,Other | Bar/Lounge | Fine Dining,The Alembic exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Greens,4.4,1884,3,"Building A, 2 Marina Boulevard, San Francisco",,ChIJceeAXt6AhYARur0rWLmvt1A,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Greens offers a solid dining experience with good quality food and reasonable prices.
Bobo's,4.3,784,3,"1450 Lombard Street, San Francisco",,ChIJgYQEod2AhYARB-mbuMUyGhw,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Closed,0,Other | Fine Dining,Great food and service at Bobo's. The dishes were well-prepared and the staff was friendly.
Nick's Crispy Tacos,4.1,1098,1,"3200 Fillmore Street, San Francisco",,ChIJt3iYkOmAhYARofTl8oAaLN4,"restaurant, point_of_interest, food, establishment",CLOSED_TEMPORARILY,,,Unknown,0,Mexican | Casual Dining,Great food and service at Nick's Crispy Tacos. The dishes were well-prepared and the staff was friendly.
The Blue Light,4.2,383,1,"1979 Union Street, San Francisco",,ChIJvVG_OtuAhYARhrfEv3QiQLA,"bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Bar/Lounge | Casual Dining,The Blue Light offers a solid dining experience with good quality food and reasonable prices.
Harris' Restaurant - The San Francisco Steakhouse,4.7,1357,4,"2100 Van Ness Avenue, San Francisco",,ChIJLx999umAhYARmyUFkEcxfOw,"bar, restaurant, point_of_interest, food, store, establishment",OPERATIONAL,,,Closed,0,American | Bar/Lounge | Fine Dining,One of the best restaurants I've ever been to. Harris' Restaurant - The San Francisco Steakhouse delivers quality that matches their excellent reputation. The upscale atmosphere adds to the dining experience.
A16,4.2,1306,3,"2355 Chestnut Street, San Francisco",,ChIJE4ZWOdSAhYARsE9BoggtBSU,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Great food and service at A16. The dishes were well-prepared and the staff was friendly.
Roam Artisan Burgers,4.5,1365,2,"1785 Union Street, San Francisco",,ChIJbzXMtNyAhYAR9bDkoIa3BaI,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,American | Casual Dining,Roam Artisan Burgers exceeded all expectations. Every dish was perfectly prepared and the atmosphere was wonderful.
Balboa Cafe,4.2,777,2,"3199 Fillmore Street, San Francisco",,ChIJYXn3mdCAhYAR97Hkb3wD660,"restaurant, bar, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Coffee | Bar/Lounge | Casual Dining,Really enjoyed my meal at Balboa Cafe. The food was tasty and the service was prompt.
Sociale,4.6,295,3,"3665 Sacramento Street, San Francisco",,ChIJT8omZTGHhYAR3YUiNaAFI8o,"restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Absolutely amazing experience at Sociale! The food was exceptional and the service was top-notch. Highly recommend!
Hunan Empire Restaurant,4.2,138,1,"2001 Union Street, San Francisco",,ChIJTdw_KNuAhYARjo4FrVXBmBI,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Other | Casual Dining,Great food and service at Hunan Empire Restaurant. The dishes were well-prepared and the staff was friendly.
Perry's on Union,4.3,885,3,"1944 Union Street, San Francisco",,ChIJy3_5ONuAhYARlKgaknpqI0k,"cafe, bar, restaurant, point_of_interest, food, establishment",OPERATIONAL,,,Open Now,0,Coffee | Bar/Lounge | Fine Dining,Perry's on Union offers a solid dining experience with good quality food and reasonable prices.
Scoma's Restaurant,4.6,6466,3,,"1965 Al Scoma Way, San Francisco, CA 94133, United States",ChIJrcYeh_yAhYARNMwNAmHKa5c,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,,,Open Now,0,Other | Fine Dining,Absolutely amazing experience at Scoma's Restaurant! The food was exceptional and the service was top-notch. Highly recommend!
